TimeStamp,PresentDOD0,CurrentCapacity,IsCharging,Temperature,Amperage,InstantAmperage,Voltage,StateOfCharge,ChargeAccum,ResScale,RSS,ITMiscStatus,AccumulatedSystemLoad,AccumulatedSystemPowerIn,VirtualTemperature,SystemVoltageIn,SystemCurrentIn,Watts
2026-08-05 07:05:34,5923,72,0,3419,-147,-156,4063,69,-4368,348,87,42028,833484641,916424789,3419,0,0,0
2026-08-05 07:25:35,6055,71,0,3469,-139,-123,4056,68,-4333,352,87,42028,833991040,916424789,3469,0,0,0
2026-08-05 07:40:34,6274,70,0,2939,-115,-104,4032,67,-4276,712,105,42031,834822447,916424789,2939,0,0,0
2026-08-05 07:50:34,6382,69,0,3069,-113,-96,4022,66,-4247,740,104,42029,835231947,916424789,3069,0,0,0
2026-08-05 08:05:34,6551,68,0,3189,-118,-133,4005,65,-4203,727,105,42031,835868675,916424789,3189,0,0,0
2026-08-05 08:15:34,6667,67,0,3250,-120,-148,3994,64,-4173,684,107,42029,836302657,916424789,3250,0,0,0
2026-08-05 08:25:34,6772,66,0,3279,-137,-116,3982,63,-4145,764,108,42029,836697080,916424789,3269,0,0,0
2026-08-05 09:00:34,7025,65,0,2809,-93,-163,3958,62,-4079,944,125,42029,837643916,916424789,2789,0,0,0
2026-08-05 09:10:34,7079,64,0,3100,-183,-172,3957,61,-4065,948,113,42029,837845107,916424789,3089,0,0,0
2026-08-05 09:30:34,7188,63,0,3150,-553,-604,3928,61,-4037,695,105,42029,838249701,916424789,3150,0,0,0
2026-08-05 09:45:34,7373,62,0,2809,-672,-555,3898,59,-3988,788,104,42029,838932886,916424789,2800,0,0,0
2026-08-05 09:55:34,7483,61,0,3139,-105,-101,3934,59,-3959,795,86,42028,839340432,916424789,3129,0,0,0
2026-08-05 10:05:34,7621,60,0,2979,-262,-263,3915,58,-3923,719,86,42029,839847668,916424789,2979,0,0,0
2026-08-05 10:20:34,7833,58,0,2989,-26,-34,3908,56,-3868,876,82,42029,840626238,916424789,2989,0,0,0
2026-08-05 10:50:34,8074,57,0,2529,-209,-158,3894,55,-3810,732,96,42031,841428718,916424789,2529,0,0,0
2026-08-05 11:10:34,8150,56,0,2900,-87,-117,3900,54,-3786,721,84,42031,841771645,916424789,2900,0,0,0
2026-08-05 11:35:35,8206,55,0,3150,-101,-93,3893,54,-3736,780,77,42030,842461984,916424789,3139,0,0,0
2026-08-05 11:45:34,8461,54,0,3300,-365,-322,3866,52,-3693,823,73,42018,843070223,916424789,3289,0,0,0
2026-08-05 11:50:35,8569,53,0,3159,-1703,-1252,3818,51,-3675,889,75,42019,843301212,916424789,3169,0,0,0
