Command,Exit description,Execution Time,Intended Timeout, MAX RSS (MB)
"/usr/bin/uptime",Never got executed,0.00,1.000000
"/usr/sbin/spindump -oslog -notarget 2 250 -noProcessingWhileSampling -noSymbolicate -file /private/var/mobile/Library/Logs/CrashReporter/DiagnosticLogs/sysdiagnose/IN_PROGRESS_sysdiagnose_2026.08.08_02-56-35+0300_iPhone-OS_iPhone_24A5390f.tmp/spindump/spindump-nosymbols.txt","exited with status 0",6.313224,30.000000,62.765625

Concurrent group with total timeout 15.000000 sec
"/bin/ps axwww -o user,uid,prsna,pid,ppid,flags,%cpu,%mem,pri,ni,vsz,rss,wchan,tt,stat,start,time,command","exited with status 0",0.091961,15.000000,2.312500
"/bin/ps axMwww -o ppid,flags,%mem,pri,ni,vsz,rss,wchan,start,time,command","exited with status 0",0.031039,15.000000,1.656250
"/usr/libexec/jetsam_priority -e -k","exited with status 0",1.777409,15.000000,5.156250
"/usr/libexec/jetsam_priority -e -k -c","exited with status 0",1.768037,15.000000,5.156250
"/usr/bin/vm_stat -c 25 0.2","exited with status 0",4.884020,15.000000,0.890625
"/usr/bin/taskinfo --threads --boosts","exited with status 0",0.294923,15.000000,10.343750


Concurrent group with total timeout 38.000000 sec
"/sbin/mount","exited with status 0",0.041482,38.000000,1.390625
"/bin/df -H","exited with status 0",0.031845,38.000000,1.031250
"/usr/bin/kbdebug","exited with status 0",0.052493,38.000000,3.468750
"/usr/bin/zprint -t -w","exited with status 0",0.052786,38.000000,2.296875

"/usr/libexec/smcDiagnose","exited with status 0",1.056696,15.000000,2.531250
"/usr/local/bin/powermetrics -i 1000 --sample-count 1 --show-all --show-initial-usage --handle-invalid-values",Never got executed,0.00,10.000000
"/usr/bin/ltop","exited with status 0",0.085743,10.000000,2.734375
"/usr/libexec/remotectl dumpstate","exited with status 0",0.024904,5.000000,1.859375
"/usr/sbin/kextstat",Never got executed,0.00,10.000000
"/usr/bin/find /private/var/mobile/Library/Logs/CrashReporter -ls",Never got executed,0.00,5.000000

