Capture Timestamp,T,P : Percent Cmd_DoPreempt,WO: Ops p 0/1/2/3,WL: SumLatency p 0/1/2/3,WM: MaxLatency p 0/1/2/3,RO: Ops p 0/1/2/3,RL: SumLatency p 0/1/2/3,RM: MaxLatency p 0/1/2/3,E: Band Erases,F: Host Flushes,HR: Host Reads,HW: Host Writes,NR: Nand Reads,NW: Nand Writes,NUR: Nand Util Reads,NUW: Nand Util Writes,CW: Clog Writes,IW: Ind Writes,GC: GC Writes,PR: Prefetch Reads,PH: Prefetch Hits,PN: Prefetch fetch next ranges,AW: Writes that were handled by autowrite HW,WCD: Write cache dirty percentage,WCFB: Write cache free buffers percentage,GLT: GC L-only us,W : Wear Level Bands,BI: BLKS(SLC),BU: BLKS(MLC/TLC),BL: BLKS LVL,TH: Time in Hysteresis (ms),S : Free Segs,QOS,V : IndMem Free,ML: IndMem Lvl (C)hoke (E)extreme (A)low (0)good,X : Expedite Ok/Fail,U : Host unmaps,C : Host tags(Min/Max),UT: Update Time(us),NU: Updates,ST: Search Time(us),GMT: GC Move Time(us),NS: Searches,MB: Cache/Ind MBUs,IMM: Time Spent in Immediate Cmd (us),EX: Extra senses in MSP may slow read perf,Ti: IndMem #free tilesDT: delta for +freeTile/-fre,DT,DL,DM,DU,PUM,MTH,GCS,WA,GCD,GM,UE,GB,RH,RI,RR,GCN,OBC,SAJ,MAJ,LAJ,STI,MTI,LTI,TAJ,TBJ,GBJ,GUI,GTD,DTB,ABM,FRQ,CPU,CYC,INST,L2M,L2A,SMF,SMC,SMD,BO,OS,OV,CBDR_PA,CBDR_RD,REWS,RFRS,ADFH,ADHF,VBWR,VBRR,CFDWC,CFDRC,DLWD,DLRD,UWDF,URDF,DPQBI,DPQBO,
2026-08-08 04:06:43.295,344897,0,0/0/0/0,0/0/0/0,0/0/0/0,545/5/0/0,68517/737/0/0,329/239/0/0,0,0,2816,65,2816,0,0,0,0,0,0,0,0,0,100,0,49,0,0,432,3418,0/0,0,8077,0,29427616,0,0/0,0,0/12,0,0,965,0,561,20/13,0,0,30,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,797,12,96631,72688,36,1478,1,0,0/0,0,0,0,0,0,0,0,1970,65,0,65,63,165,2868,0,2905,93,0,0,
,344997,0,0/6/0/0,0/1672/0/0,0/288/0/0,260/12/0/0,92676/1537/0/0,1989/229/0/0,0,0,2319,548,2319,680,0,0,8,3,0,0,0,0,98,0,50,0,0,432,3418,0/0,0,8121,0,29427568,0,0/0,10,0/12,1490,514,486,0,284,20/13,0,0,30,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,798,14,118332,95775,123,1145,1,0,0/0,0,0,0,0,0,104,44,1201,324,15,576,154,526,2383,685,3077,1331,0,0,
,345097,0,0/0/0/0,0/0/0/0,0/0/0/0,307/6/0/0,46443/915/0/0,998/190/0/0,0,0,1924,219,1924,0,0,0,0,0,0,0,0,0,100,1,49,0,0,432,3418,0/0,0,8054,0,29427568,0,0/0,0,0/12,0,0,525,0,321,20/13,0,0,30,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,796,8,66404,49416,30,927,1,0,0/0,0,0,0,0,0,0,0,1568,209,0,222,47,129,1968,0,2172,241,0,0,
,345196,0,0/0/0/0,0/0/0/0,0/0/0/0,395/18/2/0,69127/2669/1359/0,1611/245/1221/0,0,0,2933,186,2933,392,0,0,8,3,0,0,0,0,100,0,50,0,0,432,3418,0/0,0,8122,0,29427528,0,0/0,9,0/12,577,171,731,0,424,20/13,0,0,30,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,797,13,103991,79376,78,1395,1,0,0/0,0,0,0,0,0,96,0,1009,86,0,185,100,334,3002,395,3301,610,0,0,
,345295,0,0/0/0/0,0/0/0/0,0/0/0/0,187/16/0/0,22920/2391/0/0,280/233/0/0,0,0,1234,249,1234,0,0,0,0,0,0,0,0,0,100,1,50,0,0,432,3418,0/0,0,8111,0,29427528,0,0/0,0,0/12,0,0,274,0,210,20/13,0,0,30,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,796,5,43817,31720,20,665,1,0,0/0,0,0,0,0,0,0,0,534,249,0,250,29,82,1264,0,1503,261,0,0,
,345394,0,0/0/0/0,0/0/0/0,0/0/0/0,240/0/0/0,28378/0/0/0,254/0/0/0,0,0,1416,35,1416,0,0,0,0,0,0,0,0,0,100,1,50,0,0,432,3418,0/0,0,8105,0,29427528,0,0/0,0,0/12,0,0,372,0,245,20/13,0,0,30,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,796,6,49411,36690,15,769,1,0,0/0,0,0,0,0,0,0,0,1124,35,0,35,30,73,1449,0,1470,49,0,0,
,345494,0,0/0/0/0,0/0/0/0,0/0/0/0,205/15/0/0,36461/2386/0/0,1499/268/0/0,0,0,1299,295,1299,480,0,0,0,0,0,0,0,0,100,0,50,0,0,432,3418,0/0,0,8064,0,29427440,0,0/0,0,0/12,516,151,330,0,227,20/13,0,0,30,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,797,9,77055,57840,75,999,1,0,0/0,0,0,0,0,0,120,0,544,172,1,297,82,320,1358,483,1822,795,0,0,
,345594,0,0/0/0/0,0/0/0/0,0/0/0/0,140/2/0/0,35361/414/0/0,1540/208/0/0,0,0,1440,891,1440,968,0,0,8,3,0,0,0,0,100,0,51,0,0,432,3418,0/0,0,8070,1,29427576,0,0/0,1598,0/4,2598,470,289,0,146,20/13,0,0,30,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,788,11,92063,71248,132,913,1,0,0/0,0,0,0,0,0,201,177,12,681,1,899,126,553,1457,975,2642,2151,0,0,
,345694,0,0/0/0/0,0/0/0/0,0/0/0/0,154/6/5/0,73147/768/610/0,1536/162/150/0,0,0,1046,493,1046,1360,0,0,16,6,0,0,0,0,100,0,51,0,0,432,3418,0/0,0,8089,1,29427736,0,0/0,820,0/14,6167,734,635,0,176,20/13,0,0,30,0/1,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,711,21,150180,122617,230,1476,1,0,0/0,0,0,0,0,0,298,298,797,187,2,498,193,993,1112,1370,2043,2331,0,0,
,345793,0,0/0/0/0,0/0/0/0,0/0/0/0,33/4/0/0,6661/607/0/0,683/161/0/0,0,0,243,41,243,0,0,0,0,0,0,0,0,0,100,0,50,0,0,432,3418,0/0,0,8108,1,29427736,0,0/0,0,0/14,0,0,72,0,31,20/13,0,0,30,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,619,2,14134,9365,9,178,1,0,0/0,0,0,0,0,0,0,0,115,41,0,41,8,33,225,0,263,43,0,0,
