Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    4759   205807     4464   200430        0    71799    10600  1118153    58224   645466    31226     1831      202888    207813     8782     2695     3411    13096   347029        8        0        0 
    3900   206023     4525   200993        0    71821    10536     2098      106      530        0        0      203686    207855     8767     2691       15        0      646        0        0        0 
    3356   208046     4574   202473        0    68813    12033     1356        9      662        0        0      204407    210686     8767     2691        0        0      616        0        0        0 
    2662   208118     4691   202977        0    68815    12045     1404       19      512        0        0      204898    210888     8761     2691        6        0      218        0        0        0 
    2387   208184     4698   202830        0    69164    12041     2262       24      659        0        0      204962    210750     8756     2691        5        0       42        0        0        0 
    3266   207792     4218   202900        0    69087    12024     1580       92      526        0        2      204496    210414     8746     2691       10        0       71        0        0        0 
    3941   207070     4246   202918        0    69087    11274      551        0      181        0        0      204562    209672     8746     2691        0        0       48        0        0        0 
    3738   207264     4285   202888        0    69088    11276      716        2      241        0        0      204667    209770     8743     2691        3        0       59        0        0        0 
    3676   207345     4300   202855        0    69087    11292      620        6      181        0        0      204731    209769     8738     2691        5        0       26        0        0        0 
    3269   207673     4381   202867        0    69073    11302     1201       10      722        0        0      204912    210009     8736     2691        2        0      117        0        0        0 
    3033   207834     4478   202841        0    69077    11290      840       12      279        1        0      205099    210054     8735     2691        1        0       96        0        0        0 
    3988   207394     4822   202328        0    68731    10453     1102       27      372        2       64      205443    209101     8732     2691        3        0      343        0        0        0 
    3297   207874     5067   202263        0    68766    10484     1244       23      515        2        0      205834    209370     8728     2687        4        0      218        0        0        0 
    2993   205573     4015   200852        0    73818    10442     1378       29     3833      354        4      203748    206692     8805     2703        9       97      188       11        0        0 
    5203   207015     4280   201977        0    68776    10459     1151       19      426        3        0      204183    209089     8797     2703        8        0      261        0        0        0 
    4459   207310     4593   202104        0    68785    10425     1366       36      475        1        0      204609    209398     8795     2703        3        0      149        0        0        0 
    4251   207120     4957   202107        0    68816     9791     1437       56      504        2        0      205053    209131     8783     2703       12        0      135        0        0        0 
    3641   207447     5243   202100        0    68820     9781     1237       29      489        1        0      205406    209384     8783     2703        0        0      172        0        0        0 
    2380   206182     5448   200082        0    73124     9702     1806       84      760        2        2      205709    206003     8780     2703        3        0      707        5        0        0 
    2779   205906     4666   200241        0    73659     9695     1006       17      404        2        0      204620    206193     8778     2703        2        0      991        5        0        0 
    3046   205705     4351   200487        0    73662     9722     1003       19      290        0        0      204183    206360     8777     2703        1        0       47        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    2808   205435     4837   200509        0    73662     9367  1144222    58859   658291    31596     1903      204627    206154     8777     2703     3503    13193   352212       29        0        0 
    2528   205507     5002   200545        0    73669     9534      847        8      199        0        0      204793    206261     8766     2703       11        0       27        0        0        0 
    3331   205339     4892   199815        0    73874     9518     1100       34      455        2        0      203620    206426     8763     2703        3        0      128        0        0        0 
    3100   205552     5038   199718        0    73843     9514      805       15      282        0        0      203813    206495     8763     2703        0        0      201        0        0        0 
