## smcDiagnose 5.00 200
TIME_DIFF ,0.000000
TIME_START ,1786151214.577777
#KEY , 2146.000000
AC-B , -1.000000
AC-C , 0.000000
AC-I , 11.000000
AC-J , 0.000000
AC-M , 0x01 01 
AC-N , 2.000000
AC-P , 0.000000
AC-Q , 0.000000
AC-R , 0.000000
AC-S , 1.000000
AC-T , 0.000000
AC-U , 0.000000
AC-W , 1.000000
ACAP , 0.000000
ACBI , 0x01 00 00 00 00 01 00 00  
ACCF , 30.000000
ACCP , 1.000000
ACDB , 0x21 01 
ACDI , 3000.000000
ACDL , 0x00 
ACEC , 0x00 00 00 00 00 00 00 00  
ACFP , 0.000000
ACID , 0.000000
ACIE , 0.000000
ACLM , 0.000000
ACPK , 0.000000
ACPW , 14250.000000
ACSt , 0x96 00 00 00 
ACVS , 0.000000
ACpt , 2.000000
ADBA , 0.000000
ADCE , 0.000000
ANWP , 1.000000
AOPc , 0x00 00 00 00 00 00 44 f4  02 00 00 00 04 00 00 00  2a 00 00 00 00 10 00 00  00 00 44 f4 02 00 00 00  04 00 00 00 2a 00 00 00  00 10 00 00 00 00 00 00  00 e0 ee f4 02 00 00 00  00 20 00 00 00 00 00 00  
AOPs , 49.000000
AP-N , 2.000000
AP1A , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 
AP1F , 0.000000
AP1I , 0.000000
AP1P , 0.000000
AP1S , 0.000000
AP1V , 0.000000
AP1i , 0.000000
AP1p , 0.000000
AP1q , 0.000000
AP1u , 0.000000
AP1v , 0.000000
AP2A , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 
AP2F , 0.000000
AP2I , 0.000000
AP2P , 0.000000
AP2S , 0.000000
AP2V , 0.000000
AP2i , 0.000000
AP2p , 0.000000
AP2q , 0.000000
AP2u , 0.000000
AP2v , 0.000000
ARSD , 0x00 00 00 
ARSP , 0x00 00 00 
ATC0 , 0xff ff ff 06 00 00 00 02  00 00 00 00 00 01 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 01 00 
ATP0 , 0xff ff 01 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  02 00 00 00 00 91 20 00  00 00 00 00 00 00 00 00  11 00 0c ff 00 0e 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 01 08  
AY-N , 1.000000
AY1A , 0x00 00 00 00 00 ff ff ff  ff ff ff ff 
AY1C , 255.000000
AY1P , 0.000000
AY1S , 255.000000
AY1T , 255.000000
B0AC , 867.000000
B0AI , 867.000000
B0AJ , 835.000000
B0AP , 3646.000000
B0AT , 3078.000000
B0AV , 4367.000000
B0BL , 4281.000000
B0CA , 3535.000000
B0CD , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
B0CH , -5174.000000
B0CI , 0x7b 42 76 3c 
B0CM , 100.000000
B0CS , 0.000000
B0CT , 799.000000
