TimeStamp,FamilyCode,ExternalConnected,AppleRawExternalConnected,NotChargingReason,VacVoltageLimit
2026-07-26 14:46:28,-536854518,1,1,0,4420
2026-07-26 14:50:20,0,0,128,4420
2026-07-26 14:50:24,-536854520,1,1,128,4420
2026-07-26 15:53:10,0,0,128,4420
2026-07-26 15:53:15,-536854520,1,1,128,4420
2026-07-26 16:51:38,0,0,128,4420
2026-07-26 17:17:59,-536854520,1,1,128,4420
2026-07-26 17:22:15,0,0,128,4420
2026-07-26 17:31:56,-536854518,1,1,128,4420
2026-07-26 17:32:07,0,0,128,4420
2026-07-26 17:32:15,-536854518,1,1,128,4420
2026-07-26 17:32:49,0,0,0,4420
2026-07-26 17:33:10,-536854518,1,1,0,4420
2026-07-26 17:33:57,0,0,128,4420
2026-07-26 17:34:02,-536854518,1,1,128,4420
2026-07-26 17:44:15,0,0,0,4420
2026-07-26 17:44:37,-536854518,1,1,0,4420
2026-07-26 17:45:03,0,0,0,4420
2026-07-26 17:45:31,-536854520,1,1,128,4420
2026-07-26 17:51:12,0,0,128,4420
2026-07-27 00:17:48,-536854518,1,1,128,4420
2026-07-27 01:18:36,0,0,128,4420
2026-07-27 01:18:48,-536854518,1,1,128,4420
2026-07-27 01:41:26,0,0,16777216,4420
2026-07-27 15:08:10,-536854518,1,1,128,4420
2026-07-28 01:53:18,0,0,16777216,4420
2026-07-28 01:53:32,-536854518,1,1,16777344,4420
2026-07-28 09:32:31,0,0,16777216,4420
2026-07-28 19:34:51,-536854518,1,1,128,4420
2026-07-28 19:41:11,0,0,0,4420
2026-07-28 20:24:49,-536854518,1,1,128,4420
2026-07-28 20:32:31,0,0,128,4420
2026-07-29 01:33:50,-536854518,1,1,128,4420
2026-07-29 11:20:07,0,0,16777216,4420
2026-07-29 19:07:26,-536854518,1,1,128,4420
2026-07-29 19:31:58,0,0,128,4420
2026-07-30 00:39:14,-536854518,1,1,128,4420
2026-07-30 00:50:17,0,0,128,4420
2026-07-30 05:10:37,-536854518,1,1,128,4420
2026-07-30 06:03:32,0,0,272,4420
2026-07-30 14:48:16,-536854518,1,1,0,4420
2026-07-30 15:06:58,0,0,128,4420
2026-07-30 17:55:33,-536854518,1,1,128,4420
2026-07-30 18:06:08,0,0,128,4420
2026-07-30 18:18:29,-536854518,1,1,128,4420
2026-07-30 18:18:55,0,0,0,4420
2026-07-30 18:40:22,-536854518,1,1,128,4420
2026-07-30 18:40:24,0,0,0,4420
2026-07-30 23:47:05,-536854518,1,1,128,4420
2026-07-31 00:16:46,0,0,128,4420
2026-07-31 08:37:46,-536854518,1,1,128,4420
2026-07-31 09:14:52,0,0,128,4420
2026-07-31 18:04:45,-536854518,1,1,128,4420
2026-07-31 18:27:23,0,0,128,4420
2026-08-01 00:09:42,-536854518,1,1,128,4420
2026-08-01 00:30:05,0,0,128,4420
2026-08-01 07:57:28,-536854518,1,1,128,4420
2026-08-01 09:08:13,0,0,272,4420
2026-08-01 18:39:05,-536854518,1,1,128,4420
2026-08-01 19:17:25,0,0,128,4420
2026-08-02 01:14:42,-536854518,1,1,0,4420
2026-08-02 01:23:43,0,0,128,4420
2026-08-02 05:16:09,-536854518,1,1,128,4420
2026-08-02 05:47:55,0,0,0,4420
2026-08-02 09:22:47,-536854518,1,1,0,4420
2026-08-02 09:39:15,0,0,128,4420
2026-08-02 11:38:15,-536854518,1,1,128,4420
2026-08-02 13:26:15,0,0,16777216,4420
2026-08-03 08:21:11,-536854518,1,1,128,4420
2026-08-03 08:45:46,0,0,128,4420
2026-08-03 15:32:46,-536854518,1,1,128,4420
2026-08-03 15:35:35,0,0,128,4420
2026-08-03 15:42:41,-536854518,1,1,128,4420
2026-08-03 15:44:36,0,0,128,4420
2026-08-03 15:44:54,-536854518,1,1,128,4420
2026-08-03 15:54:54,0,0,128,4420
2026-08-03 19:51:34,-536854519,1,1,128,4420
2026-08-03 20:29:11,0,0,128,4420
2026-08-03 20:31:32,-536854519,1,1,0,4420
2026-08-03 23:34:30,0,0,16777216,4420
2026-08-04 15:10:51,-536854519,1,1,128,4420
2026-08-04 15:55:17,0,0,128,4420
2026-08-04 20:05:28,-536854519,1,1,128,4420
2026-08-04 20:39:43,0,0,128,4420
2026-08-05 00:01:22,-536854519,1,1,128,4420
2026-08-05 00:08:56,0,0,128,4420
2026-08-05 00:09:18,-536854519,1,1,0,4420
2026-08-05 00:58:09,0,0,128,4420
2026-08-05 00:58:19,-536854519,1,1,128,4420
2026-08-05 01:00:18,0,0,128,4420
2026-08-05 01:00:24,-536854519,1,1,128,4420
2026-08-05 01:00:52,0,0,128,4420
2026-08-05 01:00:58,-536854519,1,1,128,4420
2026-08-05 01:19:37,0,0,0,4420
2026-08-05 17:59:55,-536854519,1,1,128,4420
2026-08-05 18:29:59,0,0,128,4420
2026-08-06 02:24:42,-536854518,1,1,128,4420
2026-08-06 07:08:07,0,0,16777216,4420
2026-08-06 19:34:36,-536854520,1,1,128,4420
2026-08-06 19:38:12,0,0,128,4420
2026-08-06 19:38:39,-536854518,1,1,0,4420
2026-08-06 19:50:27,0,0,128,4420
2026-08-06 22:05:39,-536854519,1,1,128,4420
2026-08-06 22:34:59,0,0,128,4420
2026-08-06 22:47:09,-536854519,1,1,128,4420
2026-08-06 22:47:37,0,0,0,4420
2026-08-07 06:16:03,-536854518,1,1,0,4420
2026-08-07 06:16:20,0,0,128,4420
2026-08-07 06:16:53,-536854518,1,1,0,4420
2026-08-07 06:31:40,0,0,128,4420
2026-08-07 06:32:04,-536854518,1,1,128,4420
2026-08-07 07:16:14,0,0,128,4420
2026-08-07 16:35:49,-536854518,1,1,128,4420
2026-08-07 17:03:52,0,0,128,4420
2026-08-07 21:33:33,-536854518,1,1,0,4420
2026-08-07 21:54:47,0,0,128,4420
2026-08-07 21:55:18,-536854520,1,1,128,4420
2026-08-07 21:55:58,0,0,128,4420
2026-08-07 21:56:19,-536854520,1,1,0,4420
